Team,Player,Event,Mins,Secs,X,Y,X2,Y2
INA,KSS BH,Low Serve,10,6,42,47,58,51
JPN,HE FH,Slow Drop,10,6,58,53,42,47
INA,KSS FH,Drive Down,10,7,44,47,67,17
JPN,YW BH,Slow Lift,10,8,67,20,22,30
INA,MFG FH,Smash,10,9,23,29,69,40
JPN,HE FH,Drive Up,10,10,70,36,-,-
INA,KSS BH,Low Serve,10,23,42,53,57,45
JPN,YW FH,Slow Lift,10,23,57,47,22,71
INA,MFG FH,Smash,10,24,24,72,70,71
JPN,HE BH,Drive Up,10,24,70,74,35,72
INA,KSS FH,Slow Drop,10,25,38,75,57,74
JPN,HE BH,Slow Lift,10,27,57,75,23,31
INA,MFG FH,Fast Drop,10,28,22,30,58,66
JPN,HE BH,Slow Drop,10,28,58,68,43,38
INA,KSS BH,Slow Lift,10,30,42,30,77,28
JPN,YW FH,Smash,10,31,77,28,31,41
INA,KSS BH,Drive Flat,10,32,31,37,55,57
JPN,HE BH,Slow Drop,10,32,56,58,47,47
INA,KSS FH,Drive Up,10,33,45,42,68,64
JPN,YW FH,Drive Down,10,34,64,69,43,47
INA,KSS FH,Drive Up,10,34,42,46,70,45
JPN,YW BH,Slow Lift,10,35,70,46,24,63
INA,MFG FH,Slow Drop,10,36,25,67,55,65
JPN,YW FH,Drive Down,10,43,55,67,25,22
JPN,HE BH,Low Serve,11,11,58,53,43,45
INA,MFG FH,Slow Drop,11,12,45,48,52,31
JPN,HE FH,Drive Up,11,13,53,30,37,27
INA,KSS OH,Drive Down,11,14,37,24,74,77
INA,MFG BH,Low Serve,11,31,42,46,55,56
JPN,HE FH,Drive Flat,11,32,56,60,41,35
INA,KSS BH,Drive Up,11,32,41,35,68,47
JPN,YW FH,Drive Down,11,32,67,46,42,55
INA,MFG OH,Drive Up,11,33,42,57,64,56
JPN,HE FH,Drive Flat,11,33,67,63,41,61
INA,KSS FH,Fast Drop,11,34,42,62,66,71
JPN,HE BH,Fast Lift,11,35,64,73,22,39
INA,MFG FH,Smash,11,35,23,35,69,35
JPN,YW BH,Drive Up,11,36,68,33,35,64
INA,KSS FH,Fast Lift,11,37,36,71,76,29
JPN,YW FH,Smash,11,37,74,32,34,33
INA,MFG BH,Drive Up,11,38,33,34,67,46
JPN,HE FH,Drive Down,11,38,68,48,30,38
INA,MFG BH,Slow Lift,11,39,31,36,75,77
JPN,YW FH,Smash,11,40,74,76,40,72
INA,KSS FH,Drive Up,11,40,38,72,73,77
JPN,YW FH,Smash,11,41,70,70,34,62
INA,KSS BH,Drive Flat,11,41,34,64,70,72
JPN,YW FH,Fast Drop,11,42,70,72,45,40
INA,KSS BH,Slow Drop,11,43,44,37,56,53
JPN,HE BH,Slow Lift,11,44,57,61,22,28
INA,MFG FH,Slow Drop,11,45,22,29,56,29
JPN,HE FH,Slow Lift,11,47,56,31,22,33
INA,MFG FH,Smash,11,47,22,32,70,35
JPN,HE BH,Fast Lift,11,48,69,36,32,67
INA,KSS FH,Smash,11,48,30,69,72,82
JPN,YW BH,Drive Up,11,49,71,81,42,80
INA,KSS FH,Fast Drop,11,50,42,83,57,24
JPN,HE FH,Slow Lift,11,51,56,23,22,70
INA,MFG FH,Slow Drop,11,52,22,73,57,69
JPN,YW FH,Slow Lift,11,53,57,74,24,73
INA,MFG FH,Smash,11,54,24,74,71,76
JPN,YW BH,Fast Drop,11,54,71,75,43,72
INA,KSS FH  ,Slow Drop,11,56,44,77,57,76
JPN,YW FH,Slow Lift,11,57,57,75,23,36
INA,MFG FH,Smash,11,58,23,33,70,41
JPN,YW BH,Drive Up,11,58,69,42,40,31
INA,KSS OH,Drive Down,11,58,41,31,70,31
JPN,HE FH,Drive Up,11,59,71,28,45,50
INA,KSS FH  ,Slow Drop,12,0,45,50,57,24
JPN,YW BH,Slow Lift,12,1,56,28,22,37
INA,MFG FH,Smash,12,2,23,36,70,32
JPN,YW BH,Fast Drop,12,3,69,32,45,67
INA,KSS FH  ,Slow Drop,12,4,45,69,56,35
JPN,YW BH,Slow Lift,12,5,56,33,22,65
INA,MFG FH,Fast Drop,12,6,22,64,58,52
JPN,HE FH,Slow Lift,12,7,58,49,32,68
INA,MFG FH,Smash,12,8,32,73,70,72
JPN,HE BH,Fast Lift,12,8,70,73,30,48
INA,MFG OH,Smash,12,9,30,48,-,-
JPN,YW BH,Low Serve,12,53,57,43,42,55
INA,KSS BH,Drive Up,12,53,42,55,70,74
JPN,HE BH,Drive Flat,12,54,70,74,38,31
INA,MFG OH,Drive Down,12,54,38,33,68,33
JPN,YW BH,Drive Flat,12,55,68,32,43,55
INA,KSS FH  ,Drive Flat,12,55,42,53,70,48
JPN,HE FH,Fast Lift,12,57,70,45,22,66
INA,MFG FH,Slow Lift,12,58,22,67,70,75
JPN,HE FH,Smash,12,59,71,77,30,78
INA,MFG BH,Fast Lift,12,59,31,76,69,76
JPN,YW FH,Slow Drop,13,0,69,76,43,72
INA,KSS FH  ,Slow Lift,13,1,43,72,78,61
JPN,HE FH,Slow Drop,13,2,77,60,43,72
INA,MFG FH,Slow Lift,13,3,43,73,76,25
JPN,HE FH,Smash,13,4,76,26,30,42
INA,KSS BH,Drive Flat,13,5,30,41,58,25
JPN,YW BH,Fast Drop,13,5,57,23,41,14
INA,KSS BH,Drive Up,13,5,42,24,59,23
JPN,YW OH,Drive Flat,13,5,59,22,-,-
INA,KSS BH,Flick Serve,13,29,43,52,67,28
JPN,YW OH,Smash,13,30,65,30,43,59
INA,KSS FH,Fast Drop,13,30,43,61,58,47
JPN,HE BH,Drive Flat,13,31,57,48,35,33
INA,MFG BH,Fast Drop,13,31,36,30,57,28
JPN,HE FH,Slow Drop,13,32,57,28,43,28
INA,KSS BH,Slow Lift,13,34,43,26,77,29
JPN,YW FH,Smash,13,34,76,29,38,41
INA,KSS FH,Drive Up,13,35,37,44,70,28
JPN,YW FH,Drive Down,13,36,70,26,30,25
INA,KSS BH,Fast Lift,13,36,32,25,75,19
JPN,YW FH,Fast Drop,13,37,75,19,43,44
INA,KSS FH,Fast Lift,13,39,43,40,-,-
JPN,HE BH,Flick Serve,14,11,58,56,30,36
INA,MFG FH,Half Smash,14,13,32,30,-,-
JPN,HE BH,Low Serve,14,28,57,48,42,53
INA,KSS BH,Drive Flat,14,29,43,48,60,56
JPN,HE BH,Fast Lift,14,29,59,59,31,66
INA,MFG FH,Smash,14,30,31,67,70,44
JPN,HE BH,Drive Up,14,30,70,40,40,41
INA,KSS OH,Drive Down,14,31,42,34,70,31
JPN,HE FH,Drive Flat,14,31,69,30,42,62
INA,MFG FH,Fast Drop,14,32,41,66,56,30
JPN,HE FH,Slow Lift,14,33,56,31,25,71
INA,MFG FH,Smash,14,34,23,72,70,59
JPN,YW BH,Fast Lift,14,35,70,57,25,72
INA,MFG FH,Slow Drop,14,36,26,73,56,64
JPN,YW FH,Fast Lift,14,37,57,66,22,76
INA,MFG FH,Smash,14,38,24,73,70,73
JPN,YW FH,Drive Down,14,37,70,74,44,73
JPN,HE BH,Low Serve,15,9,58,55,43,48
INA,MFG FH,Slow Drop,15,9,43,51,53,46
JPN,HE FH,Drive Down,15,9,54,39,38,36
INA,KSS BH,Drive Up,15,10,39,33,65,57
JPN,YW FH,Fast Drop,15,11,67,61,44,26
INA,KSS BH,Slow Lift,15,12,43,26,78,33
JPN,YW FH,Smash,15,13,78,29,38,41
INA,KSS BH,Drive Up,15,13,37,36,62,45
JPN,HE FH,Drive Down,15,14,65,48,31,37
INA,KSS FH,Drive Up,15,14,31,39,58,39
JPN,HE FH,Drive Flat,15,14,57,38,33,44
INA,KSS FH,Drive Flat,15,15,37,40,69,66
JPN,YW FH,Fast Lift,15,16,69,71,25,27
INA,MFG OH,Smash,15,17,25,26,70,25
JPN,HE BH,Fast Lift,15,18,69,28,28,33
INA,MFG FH,Fast Drop,15,18,27,29,57,38
JPN,HE BH,Slow Lift,15,20,58,36,22,33
INA,MFG FH,Fast Drop,15,21,22,34,57,31
JPN,HE FH,Slow Lift,15,22,56,31,23,30
INA,MFG FH,Smash,15,23,23,32,70,31
JPN,HE BH,Fast Lift,15,24,69,29,30,72
INA,KSS FH,Fast Drop,15,25,30,73,56,62
JPN,HE BH,Slow Drop,15,25,57,63,43,69
INA,MFG FH,Slow Lift,15,27,43,69,78,64
JPN,YW FH,Smash,15,27,77,64,34,67
INA,MFG BH,Fast Lift,15,28,34,71,75,70
JPN,YW FH,Slow Drop,15,29,73,70,43,62
INA,MFG BH,Slow Lift,15,30,43,62,77,30
JPN,YW FH,Smash,15,31,77,28,36,44
INA,KSS BH,Fast Lift,15,32,36,46,76,58
JPN,HE FH,Fast Drop,15,33,76,62,43,57
INA,KSS FH,Drive Up,15,33,43,60,74,28
JPN,HE FH,Drive Down,15,34,70,26,37,54
INA,MFG BH,Drive Flat,15,34,40,55,69,38
JPN,HE BH,Drive Up,15,35,69,36,41,61
INA,KSS FH,Drive Down,15,35,42,63,68,58
JPN,YW BH,Drive Up,15,36,69,62,43,68
INA,KSS FH,Drive Flat,15,36,43,70,70,69
JPN,YW FH,Fast Lift,15,37,69,72,35,31
INA,MFG OH,Drive Down,15,37,38,28,70,56
JPN,YW BH,Fast Lift,15,38,70,57,33,66
INA,KSS FH,Slow Drop,15,39,34,69,57,76
JPN,YW FH,Slow Lift,15,40,57,78,21,44
INA,MFG FH,Smash,15,41,22,44,67,26
JPN,HE BH,Drive Up,15,41,68,25,39,29
INA,KSS OH,Drive Down,15,42,37,25,69,21
