week,rank,points,tournaments
7/2/2024,200.0,6350.0,2.0
6/25/2024,199.0,6350.0,2.0
6/18/2024,202.0,6350.0,2.0
6/11/2024,200.0,6350.0,2.0
6/4/2024,203.0,6350.0,2.0
5/28/2024,205.0,6350.0,2.0
5/21/2024,182.0,7920.0,2.0
5/14/2024,86.0,19700.0,4.0
5/7/2024,85.0,19700.0,4.0
4/30/2024,83.0,19700.0,4.0
4/23/2024,83.0,19700.0,4.0
4/16/2024,83.0,19700.0,4.0
4/9/2024,81.0,19700.0,4.0
4/2/2024,81.0,19700.0,4.0
3/26/2024,81.0,19700.0,4.0
3/19/2024,81.0,19700.0,4.0
3/12/2024,82.0,19700.0,4.0
3/5/2024,82.0,19700.0,4.0
2/27/2024,83.0,19700.0,4.0
2/20/2024,84.0,19700.0,4.0
2/13/2024,84.0,19700.0,4.0
2/6/2024,83.0,19700.0,4.0
1/30/2024,87.0,19700.0,4.0
1/23/2024,72.0,23300.0,5.0
1/16/2024,53.0,29350.0,6.0
1/9/2024,40.0,34150.0,7.0
1/2/2024,40.0,34150.0,7.0
12/26/2023,40.0,34150.0,7.0
12/19/2023,40.0,34150.0,7.0
12/12/2023,39.0,34150.0,7.0
12/5/2023,39.0,34150.0,7.0
11/28/2023,39.0,34150.0,7.0
11/21/2023,38.0,34150.0,7.0
11/14/2023,38.0,34150.0,7.0
11/7/2023,36.0,34150.0,7.0
10/31/2023,36.0,34150.0,7.0
10/24/2023,32.0,36810.0,8.0
10/17/2023,23.0,46160.0,9.0
10/10/2023,22.0,46160.0,9.0
10/3/2023,22.0,46160.0,9.0
9/26/2023,22.0,46160.0,9.0
9/19/2023,22.0,46160.0,9.0
9/12/2023,22.0,46160.0,9.0
9/5/2023,21.0,46160.0,9.0
8/29/2023,21.0,46160.0,9.0
8/22/2023,19.0,51360.0,10.0
8/15/2023,19.0,51360.0,10.0
8/8/2023,19.0,51360.0,10.0
8/1/2023,18.0,51360.0,10.0
7/25/2023,17.0,53020.0,11.0
7/18/2023,17.0,53020.0,11.0
7/11/2023,17.0,53020.0,11.0
7/4/2023,17.0,53020.0,11.0
6/27/2023,16.0,53020.0,11.0
6/20/2023,16.0,53020.0,11.0
6/13/2023,15.0,54220.0,12.0
6/6/2023,16.0,53500.0,11.0
5/30/2023,17.0,49740.0,10.0
5/23/2023,18.0,46140.0,9.0
5/16/2023,21.0,40780.0,8.0
5/9/2023,22.0,40780.0,8.0
5/2/2023,22.0,40780.0,8.0
4/25/2023,26.0,40780.0,8.0
4/18/2023,26.0,40780.0,8.0
4/11/2023,26.0,40780.0,8.0
4/4/2023,26.0,40780.0,8.0
3/28/2023,26.0,40780.0,8.0
3/21/2023,24.0,40780.0,8.0
3/14/2023,19.0,49180.0,9.0
3/7/2023,19.0,49180.0,9.0
2/28/2023,19.0,49180.0,9.0
2/21/2023,19.0,49180.0,9.0
2/14/2023,19.0,49180.0,9.0
2/7/2023,19.0,49180.0,9.0
1/31/2023,19.0,49180.0,9.0
1/24/2023,18.0,52000.0,9.0
1/17/2023,19.0,45950.0,8.0
1/10/2023,23.0,41150.0,7.0
1/3/2023,23.0,41150.0,7.0
12/27/2022,23.0,41150.0,7.0
12/20/2022,8.0,72700.0,10.0
12/13/2022,2.0,90897.0,14.0
12/6/2022,2.0,90897.0,15.0
11/29/2022,2.0,90897.0,15.0
11/22/2022,2.0,92897.0,16.0
11/15/2022,2.0,92897.0,16.0
11/8/2022,2.0,92897.0,17.0
11/1/2022,2.0,92897.0,17.0
10/25/2022,2.0,92897.0,16.0
10/18/2022,3.0,93747.0,16.0
10/11/2022,3.0,93747.0,17.0
10/4/2022,2.0,96527.0,19.0
9/27/2022,3.0,97727.0,20.0
9/20/2022,2.0,100327.0,22.0
9/13/2022,1.0,104727.0,24.0
9/6/2022,1.0,107527.0,26.0
8/30/2022,1.0,107527.0,26.0
8/23/2022,1.0,111827.0,28.0
8/16/2022,1.0,111827.0,28.0
8/9/2022,1.0,111827.0,29.0
8/2/2022,1.0,111827.0,30.0
7/26/2022,1.0,111827.0,32.0
7/19/2022,1.0,111827.0,32.0
7/12/2022,1.0,111827.0,32.0
7/5/2022,1.0,111827.0,32.0
6/28/2022,1.0,111827.0,32.0
6/21/2022,1.0,111827.0,32.0
6/14/2022,1.0,111827.0,31.0
6/7/2022,1.0,111827.0,30.0
5/31/2022,1.0,111827.0,30.0
5/24/2022,1.0,111827.0,30.0
5/17/2022,1.0,111827.0,30.0
5/10/2022,1.0,111827.0,30.0
5/3/2022,1.0,111827.0,30.0
4/26/2022,1.0,111827.0,30.0
4/19/2022,1.0,111827.0,30.0
4/12/2022,1.0,111827.0,30.0
4/5/2022,1.0,111827.0,30.0
3/29/2022,1.0,111827.0,30.0
3/22/2022,1.0,111827.0,30.0
3/15/2022,1.0,111827.0,29.0
3/8/2022,1.0,111827.0,29.0
3/1/2022,1.0,111827.0,29.0
2/22/2022,1.0,111827.0,29.0
2/15/2022,1.0,111827.0,29.0
2/8/2022,1.0,111827.0,29.0
2/1/2022,1.0,111827.0,29.0
1/25/2022,1.0,111827.0,29.0
1/18/2022,1.0,111827.0,29.0
1/11/2022,1.0,111827.0,29.0
1/4/2022,1.0,111827.0,29.0
12/28/2021,1.0,111827.0,29.0
12/21/2021,1.0,111827.0,29.0
12/14/2021,1.0,111827.0,29.0
12/7/2021,1.0,111827.0,29.0
11/30/2021,1.0,110977.0,28.0
11/23/2021,1.0,108327.0,27.0
11/16/2021,1.0,108177.0,26.0
11/9/2021,1.0,108177.0,26.0
11/2/2021,1.0,108177.0,25.0
10/26/2021,1.0,107227.0,24.0
10/19/2021,1.0,107227.0,23.0
10/12/2021,1.0,107088.0,22.0
10/5/2021,1.0,107088.0,22.0
9/28/2021,1.0,106853.0,21.0
9/21/2021,1.0,106853.0,21.0
9/14/2021,1.0,106853.0,21.0
9/7/2021,1.0,106853.0,21.0
8/31/2021,1.0,106853.0,21.0
8/24/2021,1.0,106853.0,21.0
8/17/2021,1.0,106853.0,21.0
8/10/2021,1.0,106853.0,21.0
8/3/2021,1.0,106853.0,21.0
7/27/2021,1.0,106853.0,20.0
7/20/2021,1.0,106853.0,20.0
7/13/2021,1.0,106853.0,20.0
7/6/2021,1.0,106853.0,20.0
6/29/2021,1.0,106853.0,20.0
6/22/2021,1.0,106853.0,20.0
6/15/2021,1.0,106853.0,20.0
6/8/2021,1.0,106853.0,20.0
6/1/2021,1.0,106853.0,20.0
5/25/2021,1.0,106853.0,20.0
5/18/2021,1.0,106853.0,20.0
5/11/2021,1.0,106853.0,20.0
5/4/2021,1.0,106853.0,20.0
4/27/2021,1.0,106853.0,20.0
4/20/2021,1.0,106853.0,20.0
4/13/2021,1.0,106853.0,20.0
4/6/2021,1.0,106853.0,20.0
3/30/2021,1.0,106853.0,20.0
3/23/2021,1.0,106853.0,20.0
3/16/2021,1.0,106853.0,19.0
3/9/2021,1.0,106853.0,19.0
3/2/2021,1.0,106853.0,19.0
2/23/2021,1.0,106853.0,19.0
2/16/2021,1.0,106853.0,19.0
2/9/2021,1.0,106853.0,19.0
2/2/2021,1.0,106853.0,19.0
12/15/2020,1.0,106853.0,19.0
11/24/2020,1.0,106853.0,19.0
11/10/2020,1.0,106853.0,19.0
11/3/2020,1.0,106853.0,19.0
10/20/2020,1.0,106853.0,19.0
10/6/2020,1.0,106853.0,19.0
9/1/2020,1.0,106853.0,19.0
3/17/2020,1.0,106853.0,19.0
3/10/2020,1.0,104453.0,18.0
3/3/2020,1.0,104453.0,19.0
2/25/2020,1.0,104453.0,19.0
2/18/2020,1.0,104453.0,19.0
2/11/2020,1.0,104403.0,18.0
2/4/2020,1.0,104403.0,18.0
1/28/2020,1.0,104403.0,18.0
1/21/2020,1.0,104403.0,18.0
1/14/2020,1.0,104403.0,18.0
1/7/2020,1.0,105803.0,18.0
12/31/2019,1.0,105803.0,18.0
12/24/2019,1.0,105803.0,18.0
12/17/2019,1.0,105803.0,18.0
12/10/2019,1.0,105203.0,18.0
12/3/2019,1.0,105203.0,18.0
11/26/2019,1.0,105203.0,18.0
11/19/2019,1.0,105203.0,18.0
11/12/2019,1.0,106603.0,18.0
11/5/2019,1.0,106603.0,18.0
10/29/2019,1.0,106603.0,18.0
10/22/2019,1.0,104953.0,18.0
10/15/2019,1.0,104953.0,18.0
10/8/2019,1.0,104953.0,18.0
10/1/2019,1.0,104953.0,18.0
9/24/2019,1.0,104953.0,17.0
9/17/2019,1.0,101353.0,17.0
9/10/2019,1.0,101353.0,17.0
9/3/2019,1.0,101353.0,17.0
8/27/2019,1.0,102153.0,18.0
8/20/2019,1.0,102153.0,17.0
8/13/2019,1.0,102153.0,17.0
8/6/2019,1.0,102153.0,17.0
7/30/2019,1.0,102153.0,17.0
7/23/2019,1.0,102153.0,17.0
7/16/2019,1.0,98553.0,16.0
7/9/2019,1.0,98553.0,16.0
7/2/2019,1.0,102153.0,17.0
6/25/2019,1.0,102153.0,17.0
6/18/2019,1.0,102153.0,17.0
6/11/2019,1.0,102153.0,17.0
6/4/2019,1.0,102153.0,17.0
5/28/2019,1.0,102153.0,17.0
5/21/2019,1.0,101683.0,17.0
5/14/2019,1.0,101683.0,17.0
5/7/2019,1.0,101683.0,17.0
4/30/2019,1.0,101683.0,17.0
4/23/2019,1.0,101683.0,16.0
4/16/2019,1.0,101683.0,16.0
4/9/2019,1.0,101683.0,15.0
4/2/2019,1.0,101683.0,15.0
3/26/2019,1.0,101683.0,15.0
3/19/2019,1.0,101683.0,15.0
3/12/2019,1.0,101683.0,15.0
3/5/2019,1.0,104483.0,15.0
2/26/2019,1.0,104483.0,15.0
