year,Malaysia Open,India Open,Indonesia Masters,Thailand Masters,All England Open,Swiss Open,Malaysia Masters,Thailand Open,Singapore Open,Indonesia Open,Chinese Taipei Open,Korea Open,Japan Open,Australian Open,China Open,Hong Kong Open,Vietnam Open,Denmark Open,French Open,Hylo Open,Korea Masters,Japan Masters,China Masters,Syed Modi International,Superseries /World Tour Finals,Chinese Taipei Masters,Dutch Open
2010,A,A,Q2,NH,A,A,A,NH,A,A,A,A,A,A,A,A,A,A,A,A,A,NH,A,A,DNQ,NH,A
2011,A,A,Q2,NH,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NH,A,A,DNQ,NH,A
2012,A,A,1R,NH,A,A,A,A,A,Q2,A,A,A,A,A,A,A,A,A,A,A,NH,A,A,DNQ,NH,A
2013,A,A,2R,NH,A,A,1R,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NH,A,NH,DNQ,NH,A
2014,A,A,F,NH,A,A,A,NH,A,2R,QF,A,A,A,A,A,2R,A,A,A,A,NH,A,A,DNQ,NH,1R
2015,1R,A,QF,NH,QF,SF,A,SF,2R,2R,F,1R,1R,A,A,QF,SF,A,A,A,2R,NH,1R,A,DNQ,W,A
2016,2R,W,W,2R,1R,A,W,A,QF,2R,A,A,A,W,W,1R,A,QF,2R,A,A,NH,A,2R,RR,A,A
2017,W,W,NH,A,W,A,A,A,SF,1R,A,F,W,w/d,W,W,A,F,w/d,A,A,NH,A,A,W,NH,A
2018,QF,W,W,A,W,A,A,A,A,W,A,A,W,A,SF,W,A,W,F,A,A,NH,W,A,RR,NH,A
2019,QF,A,W,A,1R,A,W,QF,SF,W,A,QF,W,A,W,QF,A,W,W,A,A,NH,W,A,SF,NH,A
2020,NH,NH,W,A,F,NH,QF,w/d,NH,NH,NH,NH,NH,NH,NH,NH,NH,A,NH,A,NH,NH,NH,NH,DNQ,NH,NH
2021,NH,NH,F,NH,2R,A,NH,NH,NH,W,NH,NH,NH,NH,NH,NH,NH,2R,F,W,NH,NH,NH,NH,F,NH,N/A
2022,w/d,A,SF,NH,SF,A,w/d,A,w/d,2R,A,w/d,2R,A,NH,NH,A,F,1R,A,A,NH,NH,A,DNQ,NH,N/A
2023,2R,QF,2R,A,A,A,2R,SF,2R,A,A,A,A,A,A,A,A,A,A,A,2R,2R,A,A,DNQ,NH,N/A
